"DESCRIPTION","DURATION IN MS","NAME","PARENT SUITE","START TIME","STATUS","STOP TIME","SUB SUITE","SUITE","TEST CLASS","TEST METHOD"
"","12698","Verify our first test","firefox","2026-05-17","failed","2026-05-17","","02_first_tests\211_First_Running_Test.spec.ts","",""
"","4568","Verify our first test","webkit","2026-05-17","failed","2026-05-17","","02_first_tests\211_First_Running_Test.spec.ts","",""
"","11009","Verify our first test","chromium","2026-05-17","failed","2026-05-17","","02_first_tests\211_First_Running_Test.spec.ts","",""
